.	icon
Arachis	Arachis_hypogaea
Ardea	Ardea_cinerea
Aspergillus	Aspergillus_oryzae
Avena	Avena_sativa
Bacillus	Bacillus_subtilis
Balaenoptera	Balaenoptera_musculus
Beroe	Beroe_cucumis
Bombyx	Bombyx_mori
Bos	Bos_taurus
Brachiosaurus	Brachiosaurus_altithorax
Branchiostoma	Branchiostoma_floridae
Brassica	Brassica_napus
Brassica	Brassica_oleracea
Brassica	Brassica_rapa
Caenorhabditis	Caenorhabditis_elegans
Callithrix	Callithrix_jacchus
Callorhinus	Callorhinus_ursinus
Camelus	Camelus_dromedarius
Camelus	Camelus_ferus
Canis	Canis_lupus_familiaris
Capra	Capra_aegagrus
Capricornis	Capricornis_crispus
Capsicum	Capsicum_annuum
Carassius	Carassius_auratus_auratus
Carcharodon	Carcharodon_carcharias
Casuarius	Casuarius_casuarius
Centruroides	Centruroides_vittatus
Ceratotherium	Ceratotherium_simum
Cervus	Cervus_canadensis
Cervus	Cervus_nippon
Cettia	Cettia_diphone
Chinchilla	Chinchilla_lanigera
Chinemys	Chinemys_reevesii
Choloepus	Choloepus_didactylus
Ciona	Ciona_intestinalis
Ciona	Ciona_savignyi
Citrus	Citrus_clementina
Citrus	Citrus_sinensis
Columba	Columba_livia
Coptotermes	Coptotermes_formosanus
Crocodylus	Crocodylus_niloticus
Ctenolepisma	Ctenolepisma_villosa
Cycas	Cycas_rumphii
Cynocephalus	Cynocephalus_volans
Danio	Danio_rerio
Daphnia	Daphnia_pulex
Daubentonia	Daubentonia_madagascariensis
Delphinus	Delphinus_delphis
Dictyostelium	Dictyostelium_discoideum
Diplazium	Diplazium_hachijoense
Diplazium	Diplazium_tomitaroanum_Masam
Dromaius	Dromaius_novaehollandiae
Drosophila	Drosophila_melanogaster
Dugesia	Dugesia_japonica
Dugong	Dugong_dugon
Echiniscus	Echiniscus
Eisenia	Eisenia_fetida
Elaphe	Elaphe_climacophora
Elephas	Elephas_maximus
Equus	Equus_caballus
Escherichia	Escherichia_coli
Eubalaena	Eubalaena_japonica
Eumeces	Eumeces_latiscutatus
Felis	Felis_silvestris_catus
Filobasidiella	Filobasidiella_neoformans
Fundulus	Fundulus_heteroclitus
Gallus	Gallus_gallus
Gasterosteus	Gasterosteus_aculeatus
Giraffa	Giraffa_camelopardalis
Glandiceps	Glandiceps_hacksi
Glycine	Glycine_max
Gorilla	Gorilla_beringei
Gossypium	Gossypium_hirsutum
Gossypium	Gossypium_raimondii
Guillardia	Guillardia_theta
Haliclona	Haliclona_permollis
Halocynthia	Halocynthia_roretzi
Helianthus	Helianthus_annuus

Hordeum	Hordeum_vulgare
Hydra	Hydra_magnipapillata
Hyla	Hyla_japonica
Hystrix	Hystrix_cristata
Lactuca	Lactuca_sativa
Lama	Lama_glama
Larus	Larus_ridibundus
Latimeria	Latimeria_chalumnae
Lepus	Lepus_brachyurus
Loris	Loris_lydekkerianus
Lotus	Lotus_corniculatus
Lotus	Lotus_japonicus
Loxodonta	Loxodonta_africana
Macaca	Macaca_fascicularis
Macaca	Macaca_fuscata
Macaca	Macaca_mulatta
Malus	Malus_pumila
Mandrillus	Mandrillus_sphinx
Manis	Manis_pentadactyla
Medicago	Medicago_truncatula
Meleagris	Meleagris_gallopavo
Mirounga	Mirounga_leonina
Monodelphis	Monodelphis_domestica
Monosiga	Monosiga_brevicollis
Mus	Mus_musculus
Mustela	Mustela_itatsi
Myxine	Myxine_glutinosa
Neoceratodus	Neoceratodus_forsteri
Nicotiana	Nicotiana_tabacum
Nyctereutes	Nyctereutes_procyonoides
Okapia	Okapia_johnstoni
Oncorhynchus	Oncorhynchus_mykiss
Ornithorhynchus	Ornithorhynchus_anatinus
Orycteropus	Orycteropus_afer
Oryctolagus	Oryctolagus_cuniculus
Oryza	Oryza_sativa
Oryzias	Oryzias_javanicus
Oryzias	Oryzias_latipes
Otolemur	Otolemur_crassicaudatus
Ovis	Ovis_aries
Ovis	Ovis_canadensis
Pan	Pan_paniscus
Pan	Pan_troglodytes
Panthera	Panthera_leo
Panthera	Panthera_tigris
Papilio	Papilio_machaon
Papilio	Papilio_polytes
Papilio	Papilio_xuthus
Papio	Papio_anubis
Papio	Papio_hamadryas
Papio	Papio_papio
Paracentrotus	Paracentrotus_lividus
Paramecium	Paramecium_tetraurelia
Petromyzon	Petromyzon_marinus
Phaeodactylum	Phaeodactylum_tricornutum
Phoca	Phoca_largha
Physcomitrella	Physcomitrella_patens_subsp_patens
Physeter	Physeter_macrocephalus
Picea	Picea_glauca
Picea	Picea_sitchensis
Pimephales	Pimephales_promelas
Pinus	Pinus_taeda
Plasmodium	Plasmodium_falciparum
Polypterus	Polypterus_endlicheri
Polysphondylium	Polysphondylium_pallidum
Pomacentrus	Pomacentrus_moluccensis
Pongo	Pongo_pygmaeus
Populus	Populus_tremuloides
Populus	Populus_trichocarpa
Procavia	Procavia_capensis
Prosopocoilus	Prosopocoilus_inclinatus
Prunus	Prunus_persica
