.	img_angle
//ムービーのスナップショットの方向
..	EMDB
8889	top2
8890	top2
8891	top2
8892	top2
8893	top2
8894	top2
8895	top2
8896	top2

7023	top2
8588	top2
8587	top2
3718	top2
3717	top2
3737	top2
3738	top2
3739	top2
3740	top2

8795	top2
8797	top2
8798	top2
8800	top2

8794	top2
8796	top2
6733	top2
6734	top2
6735	top2
6736	top2
3782	top2
3491	top2
3677	top2
3678	top2
8303	bottom2
3596	top2
8549	top2
8550	top2
8551	top2
8552	top2
8553	top2
8554	top2
8555	top2
8556	top2
8557	top2
8570	top2
8571	top2
8572	top2
8557	top2
3595	top2
4118	top2
6075	top2
6076	top2
3459	top2
3573	top2
3572	top2
8595	top2
6690	top2
6691	top2
6692	top2
3465	top2
3466	top2
3467	top2
3468	top2
3469	top2
3470	top2
3471	top2
3472	top2
3473	top2
3474	top2
3475	top2
3477	top2
3478	top2
3479	top2
3480	top2
3481	top2
3482	top2
3483	top2
3484	top2
3485	top2

8439	top2
8178	top2
8342	bottom2
8372	bottom2
8373	bottom2
8374	bottom2
8375	bottom2
8376	bottom2
8377	bottom2
8378	bottom2
8379	bottom2
8380	bottom2
8381	bottom2
8382	bottom2
8383	bottom2
8384	bottom2
8385	bottom2
8386	bottom2
8387	bottom2
8388	bottom2
8389	bottom2
8390	bottom2
8391	bottom2
8392	bottom2
8393	bottom2
8394	bottom2
8395	bottom2

9528	bottom2
9529	bottom2
8171	bottom2
8073	bottom2
9518	bottom2
9519	bottom2
9520	bottom2
9521	bottom2

4072	top2
4015	top2
4016	top2
4017	top2
3083	top2
3084	top2
3085	top2
3392	top2
3393	top2
3394	top2
3395	top2
3396	top2

3364	top2
8085	top2
8086	top2
8087	top2

6425	top2

1017	bottom
1022	top
1023	top
1024	top
1059	bottom
1078	top2
1135	top
1146	top
1147	top
1148	top
1218	top
1241	top
1242	top
1243	top
1244	top
1254	top
1255	top
1256	top
1290	top
1319	top
1317	bottom
1205	top
1204	top
1193	top
1192	top
1191	top
1440	top2
1481	top
1598	top
1374	top
1603	top
5047	top
1649	top
1650	top
5008	top
5037	top
5132	top
1589	top
1654	top
1655	top
1656	top
5186	top
1734	top2
1735	top2
5202	top2
5254	top
5302	top2
