.	emdb
8497	needle
8498	needle
8499	needle
8500	needle
8501	needle
8502	needle
8503	needle
3487	dna
3554	ribosome-c
3555	ribosome-c
3556	ribosome-c
8177	cycle
8419	virus-o
8423	virus-o
8427	virus-c
8540	dna
8543	membrane2
8559	membrane
8560	membrane
8565	dna
8599	virus-e
3568	dna
3569	dna
3582	membrane
4143	80s
4144	80s
4145	80s
6691	cycle
6692	cycle
8524	membrane
8525	membrane
8526	membrane
8527	membrane
8529	membrane
8531	membrane
8533	membrane
8534	membrane
8535	membrane
8536	membrane
8576	80s
8589	motor
8590	80s
8591	membrane
8592	motor
8593	motor
8594	cell
8595	virus-c
3534	protein
3535	protein
3536	protein
3537	protein
3546	membrane
3583	cycle
3584	cycle
6698	membrane
8479	rna
8480	rna
8573	virus-c
8629	virus-c
8631	virus-c
8507	virus-c
8606	virus-o
8613	synth
8614	synth
3538	synth
3543	synth
3544	synth
3545	rna
3571	virus-o
3572	virus-c
3573	virus-c
3586	cell
3587	cell
3606	cell
3610	cell
4086	rna
4087	rna
4088	rna
4089	protein
4103	cycle
4104	cycle
6693	protein
6694	protein
8314	virus-o
8521	70s
8522	70s
8579	membrane
8580	membrane
8581	membrane
8583	membrane
3459	protein
3602	misc
4009	virus-e
4014	virus-e
6695	ribosome-c
6696	ribosome-c
6697	ribosome-c
8428	misc
8544	needle
8545	needle
8548	virus-e
8566	needle
8567	needle
8568	needle
8569	needle
8584	rna
8586	rna
8598	virus-e
8604	virus-e
8605	virus-e
9539	membrane
3454	dna
3502	dna
3517	dna
3570	virus-e
3574	virus-e
3575	virus-e
3590	rna
3591	rna
3592	rna
3593	rna
3611	membrane
4071	ribosome-c
4118	membrane2
8585	rna
8654	cell
8655	cell
8656	cell
8657	cell
3594	rna
3595	misc
3596	needle
3603	misc
3642	dna
3643	dna
3644	dna
4119	protein
4120	protein
6715	needle
6716	needle
8434	70s
8549	protein
8550	protein
8551	protein
8552	protein
8553	protein
8554	protein
8555	protein
8556	protein
8557	protein
8570	protein
8571	protein
8572	protein
8608	membrane
8609	virus-e
8610	membrane
8611	membrane
8612	membrane
8632	membrane
8633	membrane
9534	membrane
3452	ribosome-c
3604	misc
3636	membrane
6699	dna
6700	dna
8621	ribosome-c
8626	ribosome-c
8627	ribosome-c
8628	ribosome-c
8636	membrane
3561	rna
3577	dna
3579	ribosome-c
3580	70s
3601	dna
3675	dna
3694	misc
4070	80s
6642	misc
6703	virus-c
6704	virus-c
6705	virus-c
6706	virus-c
6707	virus-c
6718	membrane
6719	membrane
6720	membrane
8472	misc
8474	misc
8475	misc
8476	misc
8490	misc
8491	misc
8504	misc
8513	misc
8558	dna
8623	membrane
8624	dna
8630	virus-c
8640	membrane
8643	virus-c
8644	virus-c
8650	membrane
8651	membrane
8652	membrane
8658	protein
8659	protein
8685	membrane
8686	membrane
8687	membrane
8688	membrane
8248	virus-c
8249	virus-c
8250	virus-c
8251	virus-c
8528	motor
8532	motor
8537	motor
8539	motor
3458	dna
3462	dna
3657	dna
3659	dna
3660	dna
3668	dna
3669	dna
3670	dna
3671	dna
3672	dna
3673	dna
6685	virus-e
8170	80s
3607	dna
3617	70s
3645	membrane2
3652	membrane
3653	membrane
3661	ribosome-c
3674	dna
6538	virus-c
6539	virus-c
6540	virus-c
6541	virus-c
6542	virus-c
6543	virus-c
8303	membrane
8402	70s
8574	virus-e
8600	needle
8653	membrane
8707	protein
8718	misc
8719	misc
3265	membrane
3287	virus-c
3450	membrane
3655	virus-e
3662	ribosome-c
3663	ribosome-c
3664	70s
3682	rna
3683	rna
3684	rna
3685	rna
3686	rna
3687	rna
3688	rna
8369	70s
8471	virus-e
8561	virus-c
8562	virus-c
8563	virus-c
8564	virus-c
8578	virus-c
8601	needle
8602	needle
3626	rna
3627	rna
3628	rna
3629	rna
3654	membrane
3658	membrane
3677	protein
3678	protein
6710	ribosome-c
6711	ribosome-c
6724	membrane
6732	virus-c
8458	misc
8615	70s
8617	70s
8618	70s
8619	70s
8620	70s
8694	virus-c
8696	protein
8698	virus-c
8699	virus-c
8700	virus-c
8701	virus-c
8712	membrane
9530	70s
9531	70s
9532	70s
9533	70s
3618	70s
3650	hem
3656	70s
6709	70s
6746	virus-e
8616	70s
8731	virus-c
8741	protein
8742	protein
8743	misc
3491	membrane
3588	misc
3630	virus-e
3631	virus-e
3632	virus-c
3633	virus-c
3634	virus-c
3635	virus-c
8514	misc
8693	virus-c
8695	virus-c
8724	membrane
8725	membrane
8733	virus-e
3624	70s
3625	70s
3638	70s
3639	70s
3695	rna
3696	rna
3697	rna
3698	motor
3703	motor
3704	motor
3707	motor
3714	virus-e
3715	virus-e
3716	virus-e
3720	membrane2
3721	membrane2
3722	membrane2
3723	membrane2
3724	membrane2
3725	needle
4004	virus-c
4005	virus-c
8660	dna
8702	membrane
8703	virus-e
8726	membrane
3679	dna
3680	dna
3681	dna
3746	needle
4146	protein
6701	motor
6721	rna
8697	protein
8744	protein
8746	protein
8747	misc
8772	rna
8773	rna
8777	rna
3747	virus-e
3748	ribosome-c
3749	virus-e
3750	ribosome-c
3751	70s
3756	membrane
3757	misc
3759	needle
3760	needle
6745	virus-e
6753	motor
6754	motor
6755	motor
6756	motor
8076	membrane
8084	membrane
8316	protein
8317	protein
8318	protein
8319	protein
8713	virus-c
8717	virus-c
8721	membrane
8722	membrane
8723	membrane
8739	needle
8740	needle
8752	dna
8754	virus-e
8758	motor
8759	motor
8761	virus-e
8762	virus-e
8763	virus-e
8766	rna
3562	virus-e
3565	virus-e
3651	hem
3665	motor
3667	motor
3713	70s
3726	motor
4051	virus-c
4052	virus-c
4053	virus-c
8745	protein
8751	dna
8753	virus-e
8755	motor
8756	motor
8757	motor
8768	virus-c
8769	virus-c
8770	virus-c
8780	virus-o
8782	membrane
8818	virus-e
8824	virus-e
8825	virus-e
3434	hem
3699	misc
3700	misc
3701	misc
3702	misc
3727	rna
3728	rna
3729	rna
3730	70s
3741	amyloid
3742	amyloid
3743	amyloid
3744	amyloid
3753	membrane
3771	virus-o
3813	cell
4054	virus-c
4094	protein
8408	motor
8603	needle
8625	misc
8714	virus-c
8715	virus-c
8716	virus-c
8729	virus-c
8730	virus-c
8749	dna
8771	rna
8774	rna
8776	rna
3286	virus-c
3405	80s
3417	needle
3437	virus-e
3438	virus-e
3521	virus-e
3563	needle
3564	needle
3566	needle
3567	needle
3666	motor
3706	motor
3782	virus-c
3790	rna
4060	misc
8748	virus-e
8775	rna
8807	misc
8808	misc
8809	misc
8810	misc
8811	misc
8819	membrane
8820	membrane
8821	membrane
8822	membrane
8823	membrane
8827	dna
3705	motor
3732	80s
3734	80s
3735	80s
3736	80s
3770	ribosome-c
3824	rna
6733	protein
6734	protein
6736	protein
6770	membrane
6799	membrane
8477	dna
8478	dna
8727	motor
8750	protein
8794	protein
8796	protein
8843	virus-e
8844	virus-e
8845	virus-e
8846	virus-e
3761	membrane
3766	rna
3767	rna
3768	rna
3769	rna
3776	protein
3777	protein
3792	cell
6735	protein
6747	rna
8637	membrane
8642	membrane
8767	virus-c
8783	virus-c
8784	virus-c
8785	virus-c
8786	virus-c
8787	virus-c
8788	virus-c
8789	virus-c
8790	virus-c
8791	virus-c
8792	virus-c
8793	virus-c
8795	membrane2
8797	membrane2
8798	membrane2
8800	membrane2
8842	virus-e
3717	membrane2
3737	membrane2
3738	membrane2
3739	membrane2
3740	membrane2
3791	cell
3793	cell
3794	cell
3795	needle
3796	needle
3797	cell
3798	cell
3799	cell
3800	cell
3801	cell
6797	virus-e
6798	virus-e
8638	membrane
8639	membrane
8672	protein
8674	protein
8675	protein
8676	protein
8677	protein
8678	protein
8679	protein
8680	protein
8681	protein
8682	protein
8683	protein
8684	protein
8690	misc
8691	misc
8692	misc
3762	80s
3763	80s
3764	80s
3810	cell
3811	cell
3812	cell
6771	membrane
6772	membrane
6773	membrane
6774	membrane
6778	ribosome-c
6780	ribosome-c
6784	ribosome-c
6788	ribosome-c
3708	membrane
3709	membrane
3710	membrane
3711	membrane
3786	motor
3787	motor
3825	membrane
3840	membrane
3853	misc
6785	misc
6786	misc
6787	misc
6795	virus-e
6796	virus-e
6803	dna
8673	motor
8706	motor
8899	misc
8900	misc
3718	misc
3802	rna
3815	rna
3816	rna
3817	rna
3818	rna
3819	rna
3822	virus-e
3823	virus-e
3842	ribosome-c
3843	ribosome-c
3851	amyloid
3855	virus-e
6665	misc
6666	misc
6775	membrane
6776	membrane
6777	rna
8661	virus-o
3779	motor
3856	virus-e
3862	virus-c
7000	motor
7001	motor
8465	membrane
8467	membrane
8469	membrane
8641	ribosome-c
8645	70s
8646	ribosome-c
8647	70s
8648	70s
8649	ribosome-c
8669	membrane
8670	membrane
8671	membrane
8830	rna
8831	rna
8832	rna
3785	virus-e
3805	motor
6741	membrane
6742	membrane
6743	membrane
6744	membrane
6751	virus-e
6752	virus-e
6757	virus-e
6789	ribosome-c
6790	ribosome-c
7034	virus-e
8859	ribosome-c
3444	motor
3620	motor
3621	motor
3622	motor
3623	motor
3637	70s
3640	70s
4154	motor
4156	motor
6793	virus-e
6794	virus-e
7040	virus-c
8816	rna
8817	rna
8839	protein
3303	virus-e
3581	70s
3765	dna
3847	80s
7029	motor
8764	membrane
8833	rna
8834	rna
9401	virus-c
3781	synth
3784	70s
3788	synth
3789	synth
3814	dna
3848	misc
3849	misc
7014	ribosome-c
7015	ribosome-c
7016	ribosome-c
7030	virus-o
7035	virus-o
7048	dna
7049	dna
7050	dna
7051	dna
7052	dna
8704	misc
8705	misc
8708	virus-o
8709	virus-o
8710	virus-c
8711	virus-o
8840	membrane
8841	membrane
8881	membrane
8882	membrane
8883	membrane
3778	motor
3780	motor
3803	motor
3887	membrane
3932	protein
3933	protein
3934	protein
3935	protein
3936	protein
3937	protein
3938	protein
3939	protein
3940	protein
6702	virus-e
6758	membrane
6759	membrane
6760	membrane
6761	membrane
6762	membrane
6763	membrane
6764	membrane
6765	membrane
6766	membrane
6767	membrane
6768	membrane
6769	membrane
6809	virus-e
6814	virus-e
6829	virus-c
7063	dna
8236	needle
8812	needle
8847	needle
8848	needle
8849	needle
8850	needle
8851	needle
8852	needle
8853	needle
8855	needle
8856	needle
8860	needle
9400	dna
3589	motor
3806	70s
3807	70s
3808	70s
7011	membrane
7012	membrane
7013	membrane
7073	membrane
8484	virus-o
8485	virus-o
8486	virus-o
8487	virus-o
8488	virus-o
8489	virus-o
8732	rna
8760	virus-e
3854	misc
3869	virus-c
3871	virus-c
7018	membrane
7019	membrane
7020	membrane
7036	membrane
7037	membrane
7047	virus-e
7065	misc
7067	membrane
8587	protein
8588	protein
8863	dna
8864	dna
8865	dna
8866	dna
3605	membrane
3844	80s
3845	ribosome-c
3904	membrane
3905	membrane
3906	membrane
3908	rna
6826	membrane
7023	protein
7055	cycle
7059	rna
7060	rna
7068	misc
7069	misc
7071	virus-e
7072	cycle
8622	rna
8778	needle
8779	needle
3809	needle
3857	virus-o
3858	virus-o
3859	virus-o
3870	virus-c
3872	virus-c
3873	virus-c
3874	virus-c
3875	virus-c
3876	virus-c
3898	70s
3899	70s
3900	70s
3901	70s
3902	70s
3903	70s
3967	cell
3978	membrane
6800	misc
6801	misc
6802	misc
7003	virus-e
7004	virus-e
7041	misc
7094	virus-c
7101	motor
7102	motor
7112	rna
7113	rna
7114	rna
8735	rna
8737	rna
8886	motor
3576	motor
3599	virus-e
3619	virus-e
3804	rna
3820	cell
3841	membrane
3878	needle
3879	needle
3886	ribosome-c
3968	membrane2
3969	membrane2
3970	membrane2
3971	membrane2
3972	membrane2
3973	membrane2
3974	membrane2
3975	membrane2
3976	membrane2
3977	membrane2
3712	membrane
3833	dna
3834	dna
3896	cycle
3960	dna
3980	rna
4164	dna
7010	protein
7024	80s
7025	80s
7033	virus-o
7089	virus-c
7104	virus-c
7105	virus-c
7106	virus-c
7107	virus-c
7108	virus-c
8582	virus-c
8734	virus-e
8736	rna
8862	virus-o
8885	rna
8887	protein
8888	protein
8889	protein
8890	protein
8891	protein
8892	protein
8893	protein
8894	protein
8895	protein
8896	protein
3608	misc
3609	misc
3612	misc
3613	misc
3614	misc
3615	misc
3616	misc
3772	dna
3773	dna
3774	dna
3775	dna
4163	cycle
4187	membrane
6841	virus-c
7038	rna
7081	membrane
7082	membrane
7083	membrane
7085	membrane
7127	membrane
7129	misc
8243	virus-e
8871	membrane
3522	motor
3528	virus-e
3641	needle
3649	needle
3826	synth
3827	synth
3828	synth
3829	synth
3830	synth
3831	synth
3860	membrane
3861	membrane
3926	dna
3929	dna
3930	dna
3931	dna
3947	dna
3948	dna
3949	dna
3950	dna
4176	membrane
6708	dna
7005	misc
7042	membrane
7086	cycle
7087	cycle
7110	virus-e
7111	virus-e
7120	membrane
7121	membrane
7122	membrane
7123	membrane
7132	membrane
7133	membrane
7135	virus-c
7137	misc
7138	misc
7139	misc
7140	misc
7141	misc
7142	misc
7143	misc
7144	misc
7145	misc
7146	misc
7147	misc
7148	misc
7149	misc
7150	misc
7151	misc
7152	misc
7153	misc
7154	misc
7293	dna
3689	virus-c
3690	virus-c
3691	virus-c
3692	virus-c
3864	membrane
3877	membrane
3888	ribosome-c
3889	ribosome-c
3890	ribosome-c
3891	ribosome-c
3892	ribosome-c
3893	ribosome-c
3894	protein
3895	protein
3897	protein
3907	membrane
3909	70s
3918	protein 
3919	70s
3920	70s
3921	70s
3922	70s
3923	70s
3924	70s
3925	dna
3952	virus-e
6823	membrane
6824	membrane
6825	membrane
7058	membrane
7062	misc
7066	misc
7095	membrane
7096	membrane
7099	membrane
7128	membrane
7290	rna
7291	rna
6845	cycle
8720	amyloid
3600	needle
3880	virus-e
3985	needle
3995	needle
3996	needle
3997	needle
3998	needle
6728	dna
6729	dna
6730	dna
6731	dna
7077	misc
7078	misc
7115	motor
7116	motor
7117	motor
7292	rna
3486	misc
3496	misc
3497	misc
3498	misc
3499	misc
3500	misc
3501	misc
3503	misc
3504	misc
3505	misc
3585	needle
3731	membrane
3733	membrane
3910	needle
3911	needle
3912	needle
3955	rna
3956	rna
3957	rna
3958	rna
3979	rna
4069	dna
4161	membrane
4168	motor
4169	motor
4170	motor
4171	motor
4172	motor
4177	motor
4180	rna
4181	rna
4182	rna
4183	rna
4213	misc
4257	membrane
6810	membrane
6812	membrane
6813	membrane
7007	motor
7008	motor
7017	amyloid
7070	virus-c
7287	misc
7326	dna
7332	virus-o
7333	virus-o
8854	virus-o
8867	virus-o
8869	virus-o
3883	80s
4243	ribosome-c
4244	ribosome-c
4245	ribosome-c
4263	80s
6811	membrane
7300	virus-e
7301	virus-e
7302	virus-e
7334	dna
7335	dna
7339	membrane
8420	virus-c
8421	virus-c
8422	virus-c
8523	dna
8530	membrane
8538	rna
8542	misc
8575	dna
8607	virus-e
3959	rna
4184	rna
4197	virus-e
4198	virus-c
4199	virus-c
4200	virus-c
4201	virus-c
4202	virus-c
4203	virus-c
4204	virus-c
4205	virus-c
4206	virus-c
4207	virus-c
4208	virus-c
4210	virus-c
4211	virus-c
4225	rna
4260	80s
4261	80s
4262	80s
6722	rna
6723	rna
6738	dna
6739	dna
6740	dna
6827	misc
6835	dna
6836	dna
6837	dna
6862	dna
6863	dna
6865	membrane
7289	70s
7306	dna
7307	dna
7308	dna
7309	dna
7310	dna
7311	dna
7312	dna
7313	dna
7318	dna
7325	membrane
7329	motor
7330	motor
7331	motor
7336	membrane
7337	dna
7338	membrane
7342	needle
8510	misc
3752	virus-e
3754	virus-e
3755	virus-e
3821	virus-e
3913	protein
3914	protein
3915	protein
3916	protein
3999	misc
4160	misc
4191	cell
4209	virus-c
4233	rna
4234	rna
4235	rna
4236	rna
4237	rna
4238	rna
4239	rna
4240	rna
4247	rna
4248	rna
4249	rna
4250	rna
4251	rna
4252	rna
4253	rna
4254	rna
6899	rna
7088	membrane
7090	misc
7091	misc
7093	misc
7294	virus-e
7295	virus-e
8468	membrane
8634	amyloid
8635	amyloid
3578	motor
3852	70s
3917	protein
7097	protein
7098	protein
7136	virus-e
7314	cycle
8466	misc
3984	misc
4281	membrane
4282	membrane
4283	membrane
4284	membrane
4285	membrane
6714	misc
6830	misc
7039	membrane
7079	rna
7080	rna
7109	rna
7155	synth
7156	synth
7157	synth
7158	synth
7159	synth
7160	synth
7161	synth
7162	synth
7163	synth
7164	synth
7165	synth
7166	synth
7167	synth
7168	synth
7169	synth
7170	synth
7171	synth
7172	synth
7173	synth
7174	synth
7175	synth
7176	synth
7177	synth
7178	synth
7179	synth
7180	synth
7181	synth
7182	synth
7183	synth
7184	synth
7185	synth
7186	synth
7187	synth
7188	synth
7189	synth
7190	synth
7191	synth
7192	synth
7193	synth
7194	synth
7195	synth
7196	synth
7197	synth
7198	synth
7199	synth
7200	synth
7201	synth
7202	synth
7203	synth
7204	synth
7205	synth
7206	synth
7207	synth
7208	synth
7209	synth
7210	synth
7211	synth
7212	synth
7213	synth
7214	synth
7215	synth
7216	synth
7217	synth
7218	synth
7219	synth
7220	synth
7221	synth
7222	synth
7223	synth
7224	synth
7225	synth
7226	synth
7227	synth
7228	synth
7229	synth
7230	synth
7231	synth
7232	synth
7233	synth
7234	synth
7235	synth
7236	synth
7237	synth
7238	synth
7239	synth
7240	synth
7241	synth
7242	synth
7243	synth
7244	synth
7245	synth
7246	synth
7247	synth
7248	synth
7249	synth
7250	synth
7251	synth
7252	synth
7253	synth
7254	synth
7255	synth
7256	synth
7257	synth
7258	synth
7259	synth
7260	synth
7261	synth
7262	synth
7263	synth
7264	synth
7265	synth
7266	synth
7267	synth
7268	synth
7269	synth
7270	synth
7271	synth
7272	synth
7273	synth
7274	synth
7275	synth
7276	synth
7277	synth
7278	synth
7279	synth
7280	synth
7281	synth
7282	synth
7283	synth
7284	synth
7285	synth
7340	ribosome-c
7341	70s
8326	cell
8327	cell
8328	cell
8329	cell
8330	membrane
8424	virus-e
8425	virus-e
8577	membrane2
8765	amyloid
3927	cycle
3928	cycle
3986	amyloid
3987	amyloid
3988	amyloid
3989	amyloid
3990	amyloid
3991	amyloid
3992	amyloid
3993	amyloid
3994	amyloid
4214	ribosome-c
4215	80s
4216	ribosome-c
4217	ribosome-c
4218	ribosome-c
4230	rna
4231	misc
4232	misc
4286	membrane
4288	membrane
4292	membrane
7075	membrane
7134	motor
7304	synth
7438	rna
7439	rna
3942	ribosome-c
3943	ribosome-c
4265	ribosome-c
4274	rna
7343	virus-c
7441	membrane
7471	virus-c
8596	70s
8597	70s
3868	virus-e
4179	protein
4242	ribosome-c
7324	ribosome-c
7445	ribosome-c
7461	membrane
7462	membrane
7463	membrane
7472	virus-e
7473	virus-e
8728	membrane
8781	amyloid
3981	rna
4266	misc
4275	rna
4301	rna
4306	80s
4307	80s
4308	80s
4309	80s
4310	80s
4311	80s
4312	80s
4313	80s
4314	80s
4315	80s
4316	80s
4317	80s
6854	virus-e
6913	cycle
6915	rna
7009	membrane
7348	membrane
7403	synth
7436	synth
7437	synth
7486	motor
7487	motor
7488	motor
7489	motor
4162	misc
4219	membrane
4300	80s
4302	ribosome-c
6866	motor
6867	motor
6868	motor
6869	motor
6870	motor
6871	motor
6872	motor
6873	motor
6874	motor
6877	membrane
7002	rna
7103	rna
7319	rna
7320	rna
7321	membrane2
7322	rna
7323	rna
7464	misc
7465	misc
4287	dna
4289	dna
4290	dna
4291	dna
6834	dna
7092	misc
7125	misc
7126	misc
7434	membrane2
7435	membrane2
7564	virus-e
7623	misc
7624	misc
7625	misc
7627	misc
7628	misc
7629	misc
7630	misc
3951	membrane
3953	membrane
4196	motor
4246	membrane
4256	membrane
7442	protein
7443	protein
7444	protein
6838	dna
6878	ribosome-c
6898	dna
6930	membrane
6935	virus-e
7485	dna
7546	membrane
7547	membrane
7548	membrane
7549	membrane
7573	virus-c
7574	virus-c
7575	virus-c
7576	virus-c
7577	virus-c
7578	virus-c
7579	virus-c
7580	virus-c
7581	virus-c
7582	virus-c
7584	virus-c
7585	virus-c
7586	virus-c
7601	virus-c
7602	virus-c
7603	virus-c
7604	virus-c
7605	virus-c
7606	virus-c
7607	virus-c
7608	virus-c
3941	70s
4297	dna
4298	dna
4299	dna
6815	dna
6816	dna
6831	membrane
6832	membrane
6833	membrane
6901	membrane
6907	virus-e
6916	needle
6917	needle
7006	dna
7315	virus-o
7316	virus-o
7317	virus-o
7474	needle
7475	needle
7568	virus-c
7610	misc
7631	virus-c
3846	rna
3954	dna
4264	dna
4277	dna
4278	dna
4280	dna
4335	membrane2
6840	misc
6902	protein
6929	membrane2
7031	rna
7449	membrane2
7470	dna
7480	dna
8689	virus-o
8813	70s
8814	70s
8815	70s
3944	virus-e
3945	virus-e
3946	virus-e
4166	cycle
4212	virus-e
4305	cell
4339	membrane
6828	membrane
6847	membrane
6848	membrane
6849	membrane
6850	membrane
6852	membrane
6853	membrane
6855	virus-e
6887	virus-e
6888	virus-e
7026	motor
7027	motor
7028	motor
7032	rna
7344	virus-c
7345	virus-c
7469	motor
7518	dna
7519	dna
7521	dna
7537	membrane
7538	membrane
7539	membrane
7540	rna
7626	virus-e
8826	70s
8828	70s
8829	70s
3850	rna
4165	membrane
6904	rna
6905	rna
6906	rna
6911	membrane
6927	membrane
6928	membrane
7286	membrane
7447	membrane
7448	membrane
7450	membrane2
7451	membrane2
7565	virus-c
7566	virus-c
7587	virus-c
7588	virus-c
7590	virus-c
7591	virus-c
7594	virus-c
7595	virus-c
7596	virus-c
7597	virus-c
7613	virus-e
7827	misc
7829	motor
7830	motor
8801	virus-e
8835	motor
8836	motor
8837	motor
8838	motor
3885	membrane2
4221	dna
4222	dna
4223	dna
4224	dna
4226	dna
4227	dna
4228	dna
4229	dna
4362	membrane
4366	membrane
4367	membrane
4390	membrane
6961	virus-e
7459	virus-c
7460	virus-c
7490	protein
7491	protein
7492	protein
7493	protein
7494	protein
7495	amyloid
7496	amyloid
7497	amyloid
7498	amyloid
7499	amyloid
7500	amyloid
7501	amyloid
7502	amyloid
7503	amyloid
7504	amyloid
7505	amyloid
7506	amyloid
7507	amyloid
7508	amyloid
7509	amyloid
7510	amyloid
7511	amyloid
7512	amyloid
7542	membrane
7620	membrane
3676	virus-e
4270	membrane
4271	membrane
4272	membrane
4273	membrane
4361	membrane
4391	membrane
6663	misc
6737	cell
6844	motor
6856	membrane
6954	motor
6955	motor
6956	motor
6957	motor
6958	motor
6959	motor
6960	motor
7446	motor
7466	amyloid
7467	amyloid
7468	membrane
7637	membrane
7769	motor
7771	motor
7788	membrane
7791	membrane
8857	amyloid
4392	misc
4393	misc
6806	membrane
6807	membrane
6808	membrane
6851	membrane
7452	virus-e
7770	misc
7820	dna
7821	dna
4337	ribosome-c
4345	membrane
4348	ribosome-c
4349	ribosome-c
4350	ribosome-c
4351	ribosome-c
4352	ribosome-c
4353	ribosome-c
4356	membrane
7528	misc
7535	membrane
7536	membrane
7611	needle
7612	needle
7834	80s
7836	80s
3745	80s
3835	motor
3836	motor
3837	motor
3838	motor
3839	motor
4259	motor
4342	misc
4343	misc
4344	misc
4371	motor
4386	membrane
6725	protein
6726	protein
6727	protein
6748	cell
6749	cell
6750	cell
6900	membrane
7296	membrane
7544	membrane
7545	membrane
7868	membrane
7869	membrane
7900	virus-c
7901	virus-c
7902	virus-c
8868	virus-c
4358	membrane
4378	ribosome-c
4379	ribosome-c
4382	ribosome-c
4383	ribosome-c
6932	membrane
6940	misc
6944	misc
6945	misc
7517	membrane
7783	membrane
7784	membrane
7785	membrane
7808	rna
7809	rna
7810	rna
7812	rna
7813	rna
7814	rna
7815	rna
7818	rna
7819	rna
7835	membrane
7969	misc
8874	membrane2
0025	virus-c
3529	motor
4174	virus-e
4190	rna
4276	amyloid
4372	80s
4373	80s
4374	misc
4375	misc
4376	cell
4377	cell
6712	virus-e
6713	virus-e
6979	ribosome-c
7347	rna
7786	membrane
7816	membrane
7817	membrane
7858	virus-c
7859	membrane
7860	membrane
7861	membrane
7862	membrane
7863	membrane
7864	membrane
7865	membrane
7866	membrane
7916	membrane
7917	membrane
7918	membrane
7919	membrane
7920	membrane
7921	membrane
7950	protein
7951	protein
7952	protein
0001	rna
0002	rna
3961	motor
3963	motor
3964	motor
3965	motor
4173	needle
4332	membrane2
4333	membrane2
4334	membrane2
4347	virus-e
4355	membrane2
4380	ribosome-c
4381	ribosome-c
4397	rna
6968	virus-e
6969	virus-e
7476	protein
7477	protein
7478	protein
7479	protein
7543	virus-e
7970	70s
7973	motor
7974	motor
7975	motor
7976	motor
7977	motor
8916	virus-e
8917	virus-e
0047	80s
0048	80s
0049	80s
0055	ribosome-c
3962	motor
6941	dna
6942	dna
6943	dna
6988	amyloid
7621	virus-c
7792	virus-c
7795	membrane
7796	membrane
7826	membrane
7828	membrane
7922	virus-c
7923	virus-c
7924	virus-c
7925	virus-c
7934	virus-c
7963	membrane
7964	membrane
7968	membrane
7971	membrane
8908	misc
8911	membrane
3863	virus-e
3865	virus-e
3866	virus-e
3867	virus-e
3881	virus-e
4363	rna
4365	rna
6839	rna
7824	membrane
7825	membrane
7946	protein
7947	protein
7972	membrane
7988	membrane
8662	protein
8663	protein
8664	protein
8665	protein
8666	protein
8667	protein
8668	protein
0051	cycle
0052	cycle
0088	membrane2
0127	rna
3882	needle
4194	needle
4241	cycle
6817	rna
6934	70s
7349	rna
7350	rna
7351	rna
7453	virus-c
7454	virus-c
7455	virus-c
7456	virus-c
7457	virus-c
7458	virus-c
7482	membrane
7483	membrane
7484	membrane
7526	membrane
7563	virus-c
7622	virus-c
7843	dna
7844	dna
7845	dna
7846	dna
7847	dna
7848	dna
7849	dna
7850	dna
7851	dna
7852	dna
7853	dna
7908	virus-c
7909	virus-c
7910	virus-c
7911	virus-c
7912	virus-c
7914	virus-c
7915	virus-c
7926	virus-c
7927	virus-c
7928	virus-c
7929	virus-c
7930	virus-c
7931	virus-c
7932	virus-c
7933	virus-c
7939	membrane
7957	membrane2
7958	membrane2
7978	membrane
7979	membrane
7980	membrane
7981	membrane
7982	membrane
7983	membrane
7984	membrane
7985	membrane
7986	membrane
7987	membrane
7989	membrane
7990	membrane
7991	membrane
7992	membrane
7993	membrane
7994	membrane
7995	membrane
7996	membrane
8912	membrane
8944	misc
0128	rna
0144	misc
0148	amyloid
0152	virus-c
3527	motor
3530	motor
4258	membrane
4295	membrane
4318	dna
4369	ribosome-c
4370	ribosome-c
6804	dna
6864	rna
6995	membrane
6996	membrane
6997	membrane
8922	membrane
8923	membrane
9522	dna
9523	dna
9583	virus-c
9584	virus-c
9585	virus-c
9586	virus-c
9587	virus-c
9588	virus-c
9589	virus-c
9591	virus-c
9593	virus-c
9594	virus-c
9595	virus-c
9596	virus-c
9597	virus-c
9598	virus-c
9599	misc
0076	70s
0081	70s
0082	70s
0083	70s
6952	membrane
6991	membrane
6992	membrane
7297	membrane
7298	membrane
7327	membrane
7328	membrane
7935	membrane
9005	membrane2
9012	virus-e
0015	protein
0016	protein
0017	protein
0018	protein
0022	protein
0031	rna
0080	70s
3507	virus-e
3509	virus-e
3510	virus-e
3511	virus-e
3512	virus-e
3513	virus-e
3514	virus-e
3515	virus-e
3516	virus-e
3557	motor
3558	motor
3832	synth
4321	protein
4323	protein
4324	protein
4336	dna
4364	rna
4368	70s
4387	virus-o
4388	virus-o
4389	virus-o
7352	membrane
7530	rna
7531	rna
7532	rna
7533	rna
7534	rna
7775	motor
7776	motor
7777	motor
7778	motor
7779	motor
7959	membrane
7960	membrane
7961	membrane
7962	membrane
8898	misc
8951	membrane
8952	membrane
8961	membrane
8962	membrane
8999	protein
9024	membrane
9025	membrane
9026	membrane
0027	synth
0028	synth
0029	synth
0146	rna
0147	rna
0173	virus-e
0176	70s
0177	70s
4255	rna
4322	protein
4354	synth
4357	synth
6933	virus-e
6936	virus-e
6972	rna
6973	rna
6974	rna
7797	virus-e
