middle east respiratory syndrome-related coronavirus	Middle East respiratory syndrome-related coronavirus


.	misc
..	method
em	Transmission electron microscopy
cryo em	Transmission electron cryomicroscopy
cryo-em	Transmission electron cryomicroscopy
single particle analysis	Single particle analysis
single particle	Single particle analysis
electron crystallography	Electron crystallography
electron tomography	Electron tomography
field emission gun	Field emission gun
bright field	Bright-field microscopy
diffraction	Diffraction
crystallography	Crystallography
energy filter	Energy filtered transmission electron microscopy

xray crystallography	X-ray crystallography
x-ray diffraction	X-ray crystallography
multiple isomorphous replacement	Multiple isomorphous replacement
multi wavelength anomalous diffraction	Multi-wavelength anomalous dispersion
multiple isomorphous replacement	Multiple isomorphous replacement
anomalous scattering	Anomalous scattering
isomorphous replacement	Isomorphous replacement

free electron laser	Free-electron laser

neutron diffraction	Neutron diffraction
fiber diffraction	Fiber diffraction
small angle scattering	Small-angle scattering
x-ray synchrotron	Synchrotron

nmr	Nuclear magnetic resonance
solution nmr	Nuclear magnetic resonance
solid state nmr	Solid-state nuclear magnetic resonance
simulated annealing	Simulated annealing
fourier shell correlation	Fourier shell correlation
neutron diffraction	Neutron diffraction
nuclear reactor	Nuclear reactor

..	cif
ls_r_factor_r_free	R-factor (crystallography)
ls_r_factor_all	R-factor (crystallography)
ls_r_factor_r_work	R-factor (crystallography)

em_ctf_correction	Contrast transfer function
em_vitrification	Transmission electron cryomicroscopy
vitrification_applied	Transmission electron cryomicroscopy
staining_applied	Negative stain
exptl_crystal_grow	Protein crystallization
pdbx_method_to_determine_struct	Phase problem
pdbx_nmr_exptl.type	Two-dimensional nuclear magnetic resonance spectroscopy
energyfilter_name	Energy filtered transmission electron microscopy
nominal_cs	Spherical aberration
astigmatism	Astigmatism

em_3d_reconstruction	3D reconstruction
electron_source	Electron gun
chr_aberration_corrector	Chromatic aberration
sph_aberration_corrector	Spherical aberration

Cyclic symmetry in three dimensions	Cyclic symmetry in three dimensions
Dihedral symmetry in three dimensions	Dihedral symmetry in three dimensions
Tetrahedral symmetry	Tetrahedral symmetry
Octahedral symmetry	Octahedral symmetry
Icosahedral symmetry	Icosahedral symmetry
point_symmetry	Point groups in three dimensions
pdbx_point_symmetry	Point groups in three dimensions
Schoenflies_symbol	Schoenflies notation
H-M_notation	Hermann–Mauguin notation
Abciximab	Abciximab

..	biomolecule etc
env polyprotein	Env (gene)
pvc2	x
dash	x
sumo	SUMO protein
kaic	KaiC
16s	16S ribosomal RNA
adp	Adenosine diphosphate
atp	Adenosine triphosphate
adp-ribosyltransferase	Poly (ADP-ribose) polymerase
water channel	Aquaporin
kcsa	KcsA potassium channel
trpm4	TRPM4
trpm2	TRPM2
trpc3 channel	TRPC3
trpm channel	TRPM
pathogens	Pathogen
recombination	Genetic recombination
ribosome	Ribosome
rna polymerase	RNA polymerase
dna polymerase	DNA polymerase
flagellar motor	Flagellum
type iii secretion	Type three secretion system
type ii secretion	Type II secretion system
type vi secretion	Type VI secretion system
fab	Fragment antigen-binding
antenna complex	Light-harvesting complexes of green plants
in vitro	In vitro
riboswitch	Riboswitch
replication	DNA replication
sliding clamp	DNA clamp
proliferating cell nuclear antigen	Proliferating cell nuclear antigen
pcna	Proliferating cell nuclear antigen
photoreceptor	Photoreceptor protein
tumor suppressor	Tumor suppressor gene
glutamine synthetase	Glutamine synthetase
viral protein	Viral protein
topoisomerase	Topoisomerase
aaa family	AAA proteins
aaa atpase	AAA proteins
voltage-gated calcium channels	Voltage-gated calcium channel
voltage-dependent calcium channe	Voltage-gated calcium channel
voltage-gated ion channel	Voltage-gated ion channel
voltage-dependent ion channel	Voltage-gated ion channel
voltage-gated potassium channel	Voltage-gated potassium channel
voltage-dependent potassium channel	Voltage-gated potassium channel
receptor	Receptor (biochemistry)
transcriptional factor	Transcription factor
glycan	Glycan
glycosyltransferase	Glycosyltransferase
katp	ATP-sensitive potassium channel
atp sensitive potassium channels	ATP-sensitive potassium channel
transporter	Transport protein
apoprotein	Apoenzyme
integral component of membrane	Integral membrane protein
integral	x
beta-propella	Beta-propeller
nacl	Sodium chloride
tris-hcl	Tris
Periplasmic	Periplasm
Exoplasmic loop	Ectoplasm (cell biology)
Neurotensin peptide	Neurotensin
Beta-arrestin-1	Arrestin
Histone H3.1	Histone H3
inositol 1,4,5-triphosphate receptor	Inositol trisphosphate receptor
Lifeact	LifeAct Dye
Spike glycoprotein	Peplomer
Peplomer protein	Peplomer
arginine-vasopressin	Vasopressin
Arg-vasopressin	Vasopressin

..	remove
entity	x
ipet	x
alpha beta	x
alpha	x
beta	x
cell	x
humidity	x
temperature	x
pressure	x
gins	x
mate	x
ruffle	x
other	x
regulatory	x
hand	x
psaa	x
selb	x
rgia	x
data domain	x
arno	x
arod	x
aroe	x
arsa	x
arrest	x
ligand-binding domain	x
ligand binding domain	x
export	x
exporter	x
exported	x
import	x
importer	x
protein binding	x
httm	x
imagic	x
Ince	x
masc	x
dtw	x
invasion	x
smap	x
wd-40	x
wd40	x
b-box	x
mobb	x
orff	x
c3po	x
smurf	x
toub	x
jiraiya	x
risc	x
roco	x
rosetta	x
unknown	x
saga	x
suppressed	x
pure	x
eman	x
tmr	x
yoda	x
xena	x
tweety	x
novel	x
disaggregation	x
leud	x
step	x
classification	x
cro	x
portal	x
fit	x
apra	x
locomotion	x
ocsp	x
psaa	x
psab	x
psac	x
psad	x
psae	x
psaf	x
psag	x
psah	x
psal	x
trap	x
arna	x

..	replace
membrane	Biological membrane
electric organ	Electric organ (biology)
heavy meta	Heavy metals
antagonist	Receptor antagonist
snare	SNARE (protein)
ion pump	Ion transporter
kringle	Kringle domain
nadp	Nicotinamide adenine dinucleotide phosphate
arylsulfotransferase	Aryl sulfotransferase

sumo	SUMO protein
promiscuity	Enzyme promiscuity
promiscuous	Enzyme promiscuity
nadh dehydrogenase	NADH dehydrogenase
nadh-dehydrogenase	NADH dehydrogenase
inhibitor	Enzyme inhibitor
inhibition	Enzyme inhibitor
transcription	Transcription (biology)
nucleus	Cell nucleus
gtpase	GTPase
recombination	Genetic recombination
immunity	Immunity (medical)
initiation	x
Initiator	x
competitive	Competition (biology)
dehydration	Dehydration reaction
dehydrated	Dehydration reaction
signaling	Cell signaling
signalling	Cell signaling
heavy metal	Heavy metals
metal resistance	x
porin	Porin (protein)
cell-wall	Cell wall
