.	emdb
23563	
23589	
23605	
23608	
23614	
23616	
23625	
23629	
23640	
23663	34044590
23664	34044590
23699	
23716	
23724	34385391
23763	
23764	
23765	
23775	34405853
23776	34405853
23782	34344900
23783	34344901
23784	34344901
23786	
23788	34344900
23790	34344900
23802	34344900
23808	34348129
23862	34407442
23863	34407442
23886	
23900	
23901	
23902	
23903	
23970	34013269
23971	34013269
24101	34403466
24105	33532775
24106	33532775
24137	34403466
24243	
24244	
24245	
24246	
24247	
24253	33758850
24255	33758850
24256	33758850
24257	33758850
24262	34344900
24293	
24318	33758864
24319	33758864
24320	33758864
24321	
24322	
24335	
24336	
24337	
24338	
24339	
24340	
24341	
24342	
24343	
24344	
24345	
24346	
24348	
24349	
24350	
24351	
24352	
24353	
24354	
24355	
24356	
24357	
24358	
24359	
24360	
24361	
24383	
24384	
24388	
24391	
24392	
24399	
24400	
24455	
24456	
24457	
2459	24027307
24619	
24620	
24621	
24622	
24623	
24688	
24689	
24691	
2486	
2640	28071757
2657	24884925
2690	
2691	
2698	25847242
2779	25282148
2780	25282148
2811	25554787
2812	25554787
2816	24872584
2817	24872584
2819	24872584
2820	24872584
2825	
2826	25609543
2827	25609543
2829	
2837	25528571
2839	25528571
2909	25957688
2931	25968130
2932	25968130
2933	25968130
2942	25903135
2948	27025159
2949	27025159
2950	27025159
2951	27025159
2952	27025159
2953	27025159
2954	27025159
2955	27025159
2956	27025159
2957	27025159
2958	27025159
2959	27025159
2960	27025159
2961	27025159
30007	
30050	
30051	
30059	
30060	
30062	
30063	
30064	33888861
30065	33888861
30066	33888861
30095	33863933
30096	33863933
30097	33863933
30098	33863933
30099	33863933
30100	33863933
30101	33863933
30102	
30103	33863933
30104	
30105	33863933
30106	33863933
30107	33863933
30129	33888861
30133	33888861
30147	
30148	
30149	
30150	
30153	
30154	
30211	
30225	
30227	
30229	
30230	
30231	
30232	
30261	34021140
30263	34021140
30264	
30265	
30266	
30269	
30281	34215847
30285	32636384
30286	32636384
30298	34161779
30307	32785630
30353	33651974
30356	32884137
30357	32884137
30362	32775998
30364	
30365	
30376	32785630
30378	
30379	
30381	32755598
30387	34127846
30388	34127846
30398	34294704
30399	33808009
30409	34294704
30415	33042588
30434	33558520
30435	33558520
30436	
30437	
30438	
30454	33361816
30469	33521757
30471	
30474	
30475	
30498	34373447
30499	34373447
30500	
30503	
30506	32897177
30540	33021674
30541	33021674
30553	
30554	
30573	
30575	33683200
30576	33683200
30580	
30581	
30582	34330928
30594	33876763
30595	33876763
30600	33986552
30601	33986552
30618	
30619	
30620	
30621	
30653	
30655	
30669	
30670	
30681	
30682	
30712	
30714	
30715	
30716	
30717	
30719	
30721	
30722	
30723	
30724	
30725	
30726	
30727	
30728	
30729	
30730	
30731	
30732	
30733	
30734	
30735	
30737	
30738	
30739	
30740	
30741	
30742	
30743	
30744	
30745	
30746	
30747	
30748	
30749	
30750	
30751	
30752	
30753	
30754	
30755	
30756	
30757	
30758	
30759	
30760	
30761	
30762	
30763	
30764	
30765	
30766	
30772	33472937
30773	33472937
30781	33472937
30827	34315898
30835	33758168
30836	33758168
30837	33758168
30838	33758168
30839	33758168
30840	33758168
30841	33758168
30842	33758168
30862	
30864	
30871	33731853
30872	33731853
30878	33509932
30879	33509932
30895	
30902	
30909	
30911	33909994
30912	33909994
30913	
3094	26300264
3095	26300264
30952	
30953	
30987	33683200
31004	33941845
31023	33941845
31024	33941845
31047	
31048	
31050	
31051	
31052	
31083	
31084	
31092	33932324
31093	33932324
31094	33932324
31095	33932324
31096	33932324
31097	33932324
31098	33932324
31099	33932324
31100	33932324
31101	33932324
31102	33932324
31163	
31181	
31182	
31223	34406868
31302	34330928
31303	34192549
31308	34321660
31309	34321660
3131	28281671
31328	
31361	34215847
31368	34215847
31369	34215847
31370	34215847
31387	
31388	
31389	
31432	34339732
31440	
31441	
31450	
31451	
31470	
31471	
31473	
3150	26976588
31500	34417468
31501	34417468
3154	26976588
31542	
31543	
31544	
31546	
3155	26976588
3156	26976588
3157	26976588
3158	26976588
3159	26976588
3160	26976588
3161	26976588
