
m:isir	Isomorphous replacement
m:isiras	Isomorphous replacement|Anomalous scattering
m:miras	Isomorphous replacement|Anomalous scattering
m:molecular replacement	Molecular replacement
m:mr	Molecular replacement

m:sir	Isomorphous replacement
m:siras	Isomorphous replacement|Anomalous scattering

m:mir	Multiple isomorphous replacement
m:mad	Multi-wavelength anomalous dispersion
m:sad	Single-wavelength anomalous dispersion
m:dm	Direct methods (crystallography)
m:direct method	Direct methods (crystallography)

m:free electron laser	Free-electron laser
m:x-ray diffraction	X-ray crystallography|Crystallography
m:solution scattering	Biological small-angle scattering
m:fourier synthesis	Fourier analysis
m:fiber diffraction	Fiber diffraction
m:gel filtration	Size-exclusion chromatography
m:light scattering	Scattering
m:microscopy	Microscopy
m:saxs	Small-angle X-ray scattering
m:immunoprecipitation	Immunoprecipitation
m:surface plasmon resonance	Surface plasmon resonance
m:scanning transmission electron microscopy	Scanning transmission electron microscopy
m:fluorescence resonance energy transfer	Förster resonance energy transfer
..	soft
s:relion	x
s:mrc	x
s:spider	x
s:peet	x
s:amber	AMBER
s:namd	NAMD
s:x-plor	X-PLOR
s:xplor-nih	XPLOR-NIH
s:nmrpipe	Nmrpipe
s:cyana	CYANA (Software)
s:imod	IMOD (software)
s:o	x
s:sparx	x
s:rosetta	x
s:modeller	MODELLER
s:gromacs	GROMACS
s:oligomer	x
s:ccp4	Collaborative Computational Project Number 4
s:ucsf chimera	UCSF Chimera
s:matlab	MATLAB
s:coot	Coot (software)

..	装置
e:rotating anode	X-ray tube
e:synchrotron	Synchrotron
e:free electron laser	Free-electron laser
e:field emission gun	Field emission gun

..	nmr
m:ecosy	Exclusive correlation spectroscopy
m:hsqc	Heteronuclear single quantum coherence spectroscopy
m:hnca	HNCA experiment
m:hncoca	HNCOCA experiment

.	comment
m:dm	Direct Methods
m:isas	Iterative Single wavelength Anomalous Scattering
m:isir	Iterative Single Isomorphous Replacement
m:isiras	Iterative Single Isomorphous Replacement with Anomalous Scattering
m:mad	Multi wavelength Anomalous Diffraction
m:sad	Single wavelength Anomalous Diffraction
m:mir	Multiple Isomorphous Replacement
m:miras	Multiple Isomorphous Replacement with Anomalous Scattering,
m:mr	Molecular Replacement
m:sir	Single Isomorphous Replacement
m:siras	Single Isomorphous Replacement with Anomalous Scattering
m:helical reconstruction	"helical reconstruction" in a wide sense

s:eman	includes "boxer"
s:situs	includes "COLRES"

m:cosy	Correlation spectroscopy
m:ecosy	Exclusive correlation spectroscopy
m:tocsy	Total correlation spectroscopy
m:inadequate	Incredible natural-abundance double-quantum transfer experiment 
m:hsqc	Heteronuclear single-quantum correlation spectroscopy
m:hmbc	Heteronuclear multiple-bond correlation spectroscopy
m:noesy	Nuclear Overhauser effect spectroscopy
m:roesy	Rotating frame nuclear Overhauser effect spectroscopy
m:trosy	Transverse relaxation-optimized spectroscopy
m:hetcor	Heteronuclear correlation
m:redor	Rotational Echo DOuble Resonance


..	シンクロトロン個別

.	e:aps
url	https://www.aps.anl.gov/
wikipe	Advanced Photon Source
place	Illinois, USA

.	e:esrf
url	http://www.esrf.eu/
wikipe	European Synchrotron Radiation Facility
place	Grenoble, France

.	e:nsls
url	https://www.bnl.gov/ps/
wikipe	National Synchrotron Light Source
place	Upton, New York, USA

.	e:nsls-ii
url	https://www.bnl.gov/ps/
wikipe	National Synchrotron Light Source II
place	Upton, New York, USA

.	e:als
url	https://als.lbl.gov/
wikipe	Advanced Light Source
place	Berkeley, California, USA

.	e:diamond
url	http://www.diamond.ac.uk/Home.html
wikipe	Diamond Light Source
place	Oxfordshire, UK

.	e:ssrl
url	http://www-ssrl.slac.stanford.edu/
wikipe	Stanford Synchrotron Radiation Lightsource
place	San Mateo County, California, USA

.	e:sls
url	https://www.psi.ch/sls/
wikipe	Swiss Light Source
place	Switzerland

.	e:spring-8
url	http://www.spring8.or.jp/
wikipe	SPring-8
place	Hyogo, Japan

.	e:photon factory
url	https://www2.kek.jp/imss/pf/
wikipe	Photon Factory
place	Tsukuba, Japan

.	e:ssrf
url	http://www.ssrf.ac.cn/
wikipe	Shanghai Synchrotron Radiation Facility
place	Shanghai, China

.	e:embl/desy, hamburg
url	http://www.desy.de/
wikipe	DESY
place	Hamburg, Germany

.	e:bessy
url	https://www.helmholtz-berlin.de/quellen/bessy/index_en.html
wikipe	BESSY
place	Berlin, Germany

.	e:chess
url	https://www.chess.cornell.edu/
wikipe	Cornell Laboratory for Accelerator-based Sciences and Education
place	Ithaca, New York, USA

.	e:australian synchrotron
url	http://www.synchrotron.org.au/
wikipe	Australian Synchrotron
place	Melbourne, Victoria, Australia

.	e:srs
wikipe	Synchrotron Radiation Source
place	Cheshire, UK

.	e:pal/pls
url	http://pal.postech.ac.kr/paleng/
place	Pohang, Korea
comment	Pohang Accelerator Laboratory / Pohang Light Source

.	e:pal-xfel
place	Pohang, Korea
comment	Pohang Accelerator Laboratory X-ray Free Electron Laser

.	e:soleil
url	https://www.synchrotron-soleil.fr/
place	Essonne, France
wikipe	SOLEIL

.	e:sacla
url	http://xfel.riken.jp/
place	Hyogo, Japan
wikipe	SACLA
comment	free-electron laser (X-FEL)

.	e:doris iii x33
url	http://www.desy.de/research/facilities__projects/doris/
wikipe	DESY
place	Hamburg, Germany

.	e:clsi
url	http://www.lightsource.ca/	
wikipe	Canadian Light Source
place	Saskatoon, Saskatchewan, Canada

.	e:nsrrc
url	https://www.nsrrc.org.tw/
wikipe	National Synchrotron Radiation Research Center
place	Hsinchu, Taiwan

.	e:elettra
url	https://www.elettra.trieste.it/
